"","logFC","logCPM","F","PValue","diffexpressed"
"ENSG00000005022",0.546256695594613,7.6058052886828,108.976825520903,1.01067364925953e-23,"NO"
"ENSG00000005059",2.78374162786956,4.06749024765683,822.056473408325,3.63978194054058e-118,"UP"
"ENSG00000005073",0.532546199243434,0.324448399257719,5.20279019984523,0.0228674063932018,"NO"
"ENSG00000005075",0.503889588566544,5.78259309698121,86.2289394684789,2.25774458003715e-19,"NO"
"ENSG00000005100",-0.273773836210122,5.37850381350073,67.2942907552958,1.21712871629063e-15,"NO"
"ENSG00000005108",-0.129120451319995,5.09002567933511,2.03953747025028,0.153727675335259,"NO"
"ENSG00000005156",-0.152426986647387,4.81317156403754,17.0947203776957,4.01315451895061e-05,"NO"
"ENSG00000005175",0.2421176851607,4.62806420131437,54.8797453700135,3.91542528099919e-13,"NO"
"ENSG00000005187",0.701284354161937,-1.05597065917297,105.594510644617,4.3900494287236e-23,"NO"
"ENSG00000005189",0.17438082660537,2.91384758681574,5.63037720035777,0.0179363392348997,"NO"
"ENSG00000005194",0.168893044766172,5.84325239690434,19.1916092650154,1.37419918050487e-05,"NO"
"ENSG00000005206",0.363319314782599,6.07507686348037,31.2324643602446,3.34664194594264e-08,"NO"
"ENSG00000005238",-0.0121680526600705,5.31847074785017,0.0880712459872328,0.766736664836195,"NO"
"ENSG00000005243",1.10608081270594,3.92385685288284,143.524725517284,4.50800232033577e-30,"UP"
"ENSG00000005249",0.157157864583045,4.82376807694525,3.43614782325617,0.0642287649613607,"NO"
"ENSG00000005302",0.136958061108278,4.97282746887209,19.6507550162715,1.08799505941568e-05,"NO"
"ENSG00000005339",-0.66442084612318,7.1507634733156,213.990144111176,3.37968007380565e-42,"NO"
"ENSG00000005379",-1.51838185143205,6.49492685821817,256.595477639338,4.7225945061685e-49,"DOWN"
"ENSG00000005381",0.659971364881866,-0.558749244917762,17.4958798050656,3.26703645572364e-05,"NO"
"ENSG00000005421",-1.72758001522382,0.272128375431145,148.908618190117,4.88942037311144e-31,"DOWN"
"ENSG00000005436",0.00702531699277961,3.85813391192286,0.0305285612621823,0.861349705846956,"NO"
"ENSG00000005448",0.322618139386169,4.56474727976756,40.1274274365723,4.39338950954466e-10,"NO"
"ENSG00000005469",0.843908023013096,4.98439001858404,219.44566354901,4.29096555069572e-43,"NO"
"ENSG00000005471",0.66897522184224,1.73947040361789,63.7514596187983,6.24828498315744e-15,"NO"
"ENSG00000005483",-0.475849880800275,6.72936378715159,117.687640385001,2.37370801311158e-25,"NO"
"ENSG00000005486",0.631437808180395,7.71631939542644,158.568597318547,9.45364009855495e-33,"NO"
"ENSG00000005513",-2.13436724706857,9.46617973558679,387.664553224573,2.74459471989215e-68,"DOWN"
"ENSG00000005700",-0.346533371915102,5.67803097994981,106.999058177682,2.38357464186317e-23,"NO"
"ENSG00000005801",-0.345440385517567,5.00209450027081,68.4582256976267,7.1253603356096e-16,"NO"
"ENSG00000005810",-1.02147443685571,6.40894158574151,258.594772537962,2.2908075346224e-49,"DOWN"
"ENSG00000005812",0.0354868074940443,5.53393831937513,1.04821074713415,0.30629326385786,"NO"
"ENSG00000005844",0.347780435093057,3.32878424058732,10.7926017885813,0.00107278706837365,"NO"
"ENSG00000005882",-0.262700930751796,5.19673766675683,37.7991411669075,1.35506766260378e-09,"NO"
"ENSG00000005884",1.91369534813714,5.96384638844003,316.955198354203,3.11307189746927e-58,"UP"
"ENSG00000005889",-0.068582762027266,5.2305832105163,2.50333713293203,0.114082652012262,"NO"
"ENSG00000005893",0.217694216513589,8.31660053774729,18.1863567860092,2.29459689753301e-05,"NO"
"ENSG00000005961",-0.392170089701941,1.13762410825869,17.9555444519278,2.5819671850918e-05,"NO"
"ENSG00000005981",-0.253978938152437,0.601603232721969,3.62658290914259,0.0572964486808687,"NO"
"ENSG00000006007",0.240770129381437,6.16670691850072,46.4575202366069,2.10871412879385e-11,"NO"
"ENSG00000006015",0.367672775083005,4.98561958835613,32.8440023284125,1.51695997996917e-08,"NO"
"ENSG00000006016",-1.52589675303562,5.30819686895489,49.4030630005709,5.19672873450436e-12,"DOWN"
"ENSG00000006025",-0.445558256008728,4.77347631848314,85.1414210731975,3.67319143540969e-19,"NO"
"ENSG00000006042",-0.121251591855117,5.62366521842407,2.12884826089945,0.145023486829135,"NO"
"ENSG00000006047",0.68335471471439,-0.0403715002111295,27.8133090171195,1.81125281225029e-07,"NO"
"ENSG00000006059",-1.53105633791516,-2.71860132122793,51.9118120319122,1.58498615804203e-12,"DOWN"
"ENSG00000006062",0.251367783260235,4.16116305854422,20.4317882638623,7.31946938017857e-06,"NO"
"ENSG00000006071",-1.58316659238351,5.34267692310658,164.104257961622,1.0094310456418e-33,"DOWN"
"ENSG00000006116",-1.69543456333341,3.54155325317033,50.4863582229302,3.11017358112496e-12,"DOWN"
"ENSG00000006118",0.440138496949535,7.56788009954854,48.4955206680845,7.99459561144507e-12,"NO"
"ENSG00000006125",-0.740395978655631,9.07483141331766,544.701889829599,2.20859330994355e-88,"NO"
"ENSG00000006128",-0.479891255471496,3.01327496442347,4.25632578989207,0.0394936783720712,"NO"
"ENSG00000006194",-0.0145626436461113,5.15834213545235,0.227320414067221,0.63367509895053,"NO"
"ENSG00000006210",-0.7873218075193,6.9497814584302,139.908105131902,2.02002339478488e-29,"NO"
"ENSG00000006282",0.578738349929546,6.01805731309308,57.1634677390465,1.34221438496008e-13,"NO"
"ENSG00000006283",0.545673872681299,3.96172393409344,16.6069250306345,5.15631640192198e-05,"NO"
"ENSG00000006327",2.50394573363734,5.01220049865572,303.739426567736,2.84103572871033e-56,"UP"
"ENSG00000006377",0.693121442723585,1.10930220328664,11.4445863181581,0.000759262178145368,"NO"
"ENSG00000006432",-0.917232071463734,3.73906629484909,44.1102602990515,6.47570257719767e-11,"NO"
"ENSG00000006451",0.123532403144814,6.48596339457821,16.745163022902,4.80239128300106e-05,"NO"
"ENSG00000006453",0.705566513193813,-0.144862636226256,62.5429394215488,1.09400801264465e-14,"NO"
"ENSG00000006459",-0.944977038433106,4.95669805626536,292.432265676305,1.41212927753716e-54,"NO"
"ENSG00000006468",-0.991191976259355,8.35045799954455,97.8794157943219,1.28566314732676e-21,"NO"
"ENSG00000006530",0.173989384181579,5.2620747242199,31.79810859069,2.53399113031156e-08,"NO"
"ENSG00000006534",0.490856552040498,3.86439509947299,37.8629386563555,1.31394993286267e-09,"NO"
"ENSG00000006555",0.203593146092427,-2.19165968206637,1.58070357485715,0.209102472155793,"NO"
"ENSG00000006576",0.361792053226607,4.7027528381615,67.2774270071443,1.22661609861242e-15,"NO"
"ENSG00000006606",1.62301085709712,-1.98458125527947,119.809480067235,9.58271587377635e-26,"UP"
"ENSG00000006607",-0.0197667900636125,5.01048637503204,0.173555396815233,0.677106107707018,"NO"
"ENSG00000006611",-3.00224124134505,5.5033492170312,262.104700349516,6.47523751106343e-50,"DOWN"
"ENSG00000006625",0.685368198826798,3.79501075544404,207.710700658639,3.69877338604343e-41,"NO"
"ENSG00000006634",0.926003340657646,3.59622823687539,170.354746798625,8.1867680602418e-35,"NO"
"ENSG00000006638",0.788929543798805,1.79819629413445,81.1973630078388,2.16206591881742e-18,"NO"
"ENSG00000006652",0.408313757300759,3.89805545598652,52.8320412715109,1.0264910271386e-12,"NO"
"ENSG00000006695",-0.0478205925360854,3.7064996874264,3.08252477639112,0.079599744608066,"NO"
"ENSG00000006704",-0.111627124498204,5.11188895039229,7.13507913063568,0.00774471169416619,"NO"
"ENSG00000006712",-0.208503643406238,6.53765959990626,27.8012168253648,1.82213648125323e-07,"NO"
"ENSG00000006715",0.0112893753199261,6.77293106755742,0.13086572197552,0.717651474484153,"NO"
"ENSG00000006740",-1.55107612765825,3.76987680591565,147.177539430344,9.98037251162903e-31,"DOWN"
"ENSG00000006744",-0.0700185487369433,6.35596399582366,8.39146134659207,0.00389426832173834,"NO"
"ENSG00000006747",0.0909083917252194,5.18562092373744,0.415429436974185,0.519449720269245,"NO"
"ENSG00000006756",2.32699119306571,4.15677914969235,1201.43868349472,6.0906157246143e-151,"UP"
"ENSG00000006757",1.79076693077343,3.42664878987823,309.547605302187,3.87826662919357e-57,"UP"
"ENSG00000006831",-0.777714031510362,7.31420388891614,169.773779184424,1.03377204982129e-34,"NO"
"ENSG00000006837",0.090458657448914,0.535380864737655,3.713849988821,0.0543901408162096,"NO"
"ENSG00000007001",-1.28910822426583,0.686764066874899,167.865311348483,2.2188475196826e-34,"DOWN"
"ENSG00000007038",1.43221484900065,-2.69250451881394,82.4205580430148,1.2463435560471e-18,"UP"
"ENSG00000007047",-0.188563652051853,5.76316231821946,22.2041604713331,2.98885566594111e-06,"NO"
"ENSG00000007062",1.49059711517028,3.98732516900633,210.973197873403,1.06841773960504e-41,"UP"
